"","Delta.price","Earnings.Per.Share.USD","Dividends.USD","Book.Value.Per.Share...USD","Return.on.Assets..","Return.on.Equity..","Return.on.Invested.Capital..","Debt.Equity","Revenue.USD.Mil"
"1",1.0040758591119,-0.263157895,0,0.153102337,-0.218721038,-0.438570365,-0.312887237,-0.177777778,-0.323960695
"3",0.955705650829353,0.256360078,0,3.0917603,-0.497335702,-0.640927564,-0.604468219,-0.367346939,0.519286872
"4",1.895178587335,1.33164557,0,1.192699491,-0.487624677,-0.115190785,-0.516081871,1.63375209003483,1.117654667
"5",1.22596266799366,-0.354330709,2.395348837,0.066484517,-0.779166667,-0.284184514,-0.596947428,3.882352941,0.909097709
"7",0.981292651559977,-0.910299003,-0.436170213,0.172303765,-0.906329114,-0.908415842,-0.906719368,0.795918367,-0.294998842
"8",1.34861741864607,0.604719764,1.688888889,1.284697509,-0.002507837,-0.384581368,-0.384203481,1.63375209003483,0.344093884
"10",1.22251189628991,-0.263345196,0.882978723,1.114689709,-0.724252492,-0.618548387,-0.654666035,2.217391304,0.706648847
"11",0.372915653129041,-0.108626198,1.064516129,0.416861263183406,-0.275362319,-0.262510254,-0.175339367,-0.181818182,-0.246021122
"12",1.37661207843211,0.527777778,0.577464789,-0.247346939,0.04379562,0.877691251,0.769866497,49,0.325516651
"13",1.64300886769723,1.587155963,0,8.819112628,-0.232240437,-0.858256779,-0.095571096,-0.658962264,1.43271352
"14",1.8027680912701,-3.9,0,-0.32157969,-2.39382716,-4.597818182,-2.410909091,1.63375209003483,0.041004613
"15",0.937338663691814,-0.004651163,0.148387097,-0.08131068,-0.059090909,0.104072398,-0.138257576,0.178571429,-0.179790201
"16",0.880010052591273,-0.034825871,0.291891892,0.211811283,-0.211640212,-0.218658892,-0.210459184,0.029126214,0.020375761
"17",-0.0630398080152773,-26.14285714,0,-0.408588957,-24.92857143,-48.47311828,-2.867867868,1.136094675,-0.390413338
"18",2.7963152474988,0.088122605,2.888888889,0.583527067,-0.411538462,-0.426700252,-0.113191049124365,0.333333333,0.852299501
"19",0.661283755962245,1.800970874,0.426229508,1.064563463,0.916666667,0.277673546,-0.113191049124365,-0.125,-0.025754364
"20",2.52891691989609,-7.402912621,0,6.314733771,-1.853717026,-1.824146982,-1.577648766,0.583333333,2.477530541
"21",1.05920338687824,-1.59400545,0,0.777116402,-1.445255474,-1.299442897,-0.113191049124365,-0.309859155,-0.228326354
"22",0.796456910313663,-3.279069767,2,2.467213115,-4.434482759,-1.593304402,1.311728395,-0.870811073,-0.069444444
"23",1.6490845173962,0.704174229,2.071428571,0.39364519,-0.171568627,0.115902965,-0.113191049124365,0.315789474,-0.237157017
"24",1.00135250651402,0.984375,0.181818182,1.136406397,0.06442577,-0.018760196,-0.450171821,1.63375209003483,1.886597938
"25",0.73408896033137,0.177570093,0,0.611715481,-0.431578947,-0.279395901,-0.375418994,1.63375209003483,1.159620362
"26",1.01793732471243,-0.885514019,0.910447761,0.973698937,-0.950395399,-0.949327818,-0.949701195,-0.170212766,0.070756361
"29",2.06419036591036,4.573333333,0.761904762,0.588430667,3.557377049,2.710526316,-0.113191049124365,-0.03125,0.179763582
"30",1.33353473814249,1.164835165,0,6.07029877,-0.773507207,-0.71331058,-0.745412844,1.63375209003483,3.535121328
"31",2.39291801791882,1.186206897,0.333333333,0.21958457,0.300708307,0.75826972,0.357006673,1.590909091,0.382238281
"32",0.738474525635598,-0.939393939,0,-0.784,-0.873737374,-0.778160615,-0.61263897,1.260416667,-0.1886419
"33",1.23782610084553,0.860759494,1.25,0.914218566,-0.031746032,-0.068690891,-0.061505065,-0.163636364,0.43812709
"34",0.781692315283909,2.868167203,0,0.965074627,1.515923567,1.058888889,0.438633938,0.324324324,0.352699531
"35",2.04722271059844,-0.334158416,7.214285714,0.50777027,-0.685463659,-0.581096849,-0.665650407,0.205357143,0.466371454
"36",1.58207500372408,1.08388521,2.724137931,-0.071089023,0.271604938,1.346978558,-0.113191049124365,0.148648649,0.179314386
"37",1.43980268944715,1.696969697,0,0.833534379,0.022792023,0.516267123,0.132376396,0.433179724,1.726268412
"38",3.92274901680186,3.489051095,0,1.9847686,-0.01048951,0.49594438,-0.067105263,6.611111111,2.699606881
"40",1.2539056762073,0.560209424,0,0.487137384,0.143037975,0.058181818,0.129318855,1.63375209003483,0.584659913
"41",1.7050205431857,0.979310345,1.7,0.449849764,0.094594595,0.324733096,-0.113191049124365,0.833333333,0.483099984
"42",1.71333131288003,0.637630662,1.35,-0.175542406,0.388059701,1.033361134,0.363233666,1.490196078,-0.114202179
"44",-0.569212751258059,-0.702702703,0.666666667,-0.735061195,-0.378177966,0.078486731,-0.289928058,3.458333333,-0.651409285
"45",-0.302479398857598,-0.840225564,-0.444444444,-0.456515922,-0.79337232,-0.703513909,-0.782752902,0.746987952,-0.190750612
"46",0.825975886437601,1.424511545,0.66367713,0.563656148,0.86492622,0.61926818,0.730328495,-0.5,-0.187859552
"47",2.09322104724588,0.355263158,22.33333333,0.958762887,-0.432606941,-0.272922022,-0.412717457,0.412698413,0.779441624
"48",0.619777115496156,-0.086705202,0.85483871,0.098910138,-0.208588957,-0.25,-0.079207921,-0.129032258,1.226190476
"49",-0.183093540551954,0.857322011605996,0,0.416861263183406,-0.0354920496916488,0.37591914358427,-0.113191049124365,1.63375209003483,0.566982204209402
"51",0.488952191056,0.303901437,0.591036415,0.716678137,-0.110701107,-0.257417103,-0.122591944,-0.144578313,1.228070175
"52",6.29443885102234,0.835616438,10.65714286,4.9375,-0.864887406,-0.72519084,-0.79878255,1.63375209003483,6.549657534
"53",1.63759492547282,0.758426966,0.76,-0.216413374,0.567639257,1.48305821,0.579141104,1.172413793,0.097577166
"54",1.788524860907,0.36,0.8,0.275577558,0.041860465,0.086486486,-0.332,-0.03968254,0.259189797
"55",0.782940629955199,-0.279126214,0.861111111,0.578135048,-0.52887538,-0.517388219,-0.113191049124365,-0.034700315,-0.184834123
"56",1.18129024936349,1.26348228,0,0.969619444,-0.033692722,0.37591914358427,-0.113191049124365,1.63375209003483,0.348817044
"57",2.08737667037906,1.514981273,2.380952381,-0.770287141,0.659889094,0.37591914358427,1.775575221,8.666666667,0.35872554
"58",1.46556303704165,155,8.75,0.215392304,-0.0354920496916488,169.75,-0.113191049124365,-0.471590909,0.014611936
"59",0.965472507352382,-0.667525773,-0.515873016,0.410815174,-0.63927691,-0.756652868,-0.68320802,-0.472222222,-0.239833009
"60",0.843291203247495,0.49726776,0.96875,0.364978061,0.294871795,0.090551181,-0.113191049124365,-0.288,0.31287703
"61",0.853865599000983,0.058441558,1.344827586,0.416861263183406,0.052407932,0.21659919,0.161330049,1,-0.161541216
"62",1.42944659590634,-0.181494662,0.780487805,1.455960854,-0.74328594,-0.595882115,-0.686407219,1.823529412,0.544641717
"63",0.10584135766162,0.048780488,1.424242424,0.712643678,-0.362189688,-0.420363329,-0.400597907,-0.666666667,-0.104761905
"64",1.16065777444796,0.857322011605996,0,0.416861263183406,-0.0354920496916488,0.37591914358427,-0.113191049124365,1.63375209003483,0.566982204209402
"65",1.33128775561112,0.857322011605996,0,0.416861263183406,-0.0354920496916488,0.37591914358427,-0.113191049124365,1.63375209003483,0.566982204209402
"66",-0.269295137684007,0.857322011605996,0,0.416861263183406,-0.0354920496916488,0.37591914358427,-0.113191049124365,1.63375209003483,0.566982204209402
"67",2.16446917302184,1.365079365,0,1.36338904,-0.242361111,-0.017241379,-0.200339559,1.764705882,1.430778372
"68",1.00252811540759,0.832512315,0.791666667,0.310233393,0.261363636,0.402614379,-0.113191049124365,0.121212121,0.026748133
"69",2.65884453896511,1.271449346,0,4.534583333,-0.663411458,-0.538733126,-0.679402834,25,1.911157025
"70",1.36346509955054,1.443815683,0.818181818,0.345208048,0.738461538,0.785557987,0.838422392,-0.36,0.375509305
"71",1.20637116204747,-0.198473282,1.571428571,1.298405467,-0.6416,-0.687422935,-0.602298851,-0.253393665,0.272653534
"72",0.98955543512803,-0.717592593,0.180451128,-0.075203252,-0.7417962,-0.692143467,-0.721590909,0.735294118,-0.02202975
"73",2.42600864727569,1.045454545,1.2,0.254263566,0.182115594,0.508514664,0.422204214,5.875,0.911859714
"74",1.2567910582135,0.857322011605996,0,0.416861263183406,-0.0354920496916488,0.37591914358427,-0.113191049124365,1.63375209003483,0.566982204209402
"76",0.272958360044225,-0.063063063,0,0.638086643,-0.506276151,-0.46410473,-0.508615567,0.806451613,0.377424796
"77",0.292062745337339,0.575268817,0.487804878,0.11878453,0.216494845,0.36779661,0.036964981,0.022346369,0.478409091
"79",0.461488285973112,0.149068323,5.375,0.205540661,-0.057184751,-0.112820513,-0.180511182,1.130434783,-0.088733348
"80",0.948774655113337,-0.223404255,0.011235955,-0.115283843,-0.229461756,-0.024146054,-0.167250438,0.131147541,-0.363894985
"81",0.689097500239467,0.481617647,1.2625,0.262304922,-0.225446429,0.118329466,-0.265050167,2.594594595,0.266279568
"82",0.162496282122958,-0.82972973,0.722222222,0.195701875,-0.853982301,-0.864806351,-0.828380386,-0.103092784,-0.244038711
"83",1.19068919083161,0.811946903,1.737864078,0.543623209,0.268817204,0.161676647,-0.113191049124365,0.642857143,0.915349887
"84",2.70269242706412,1.427631579,0,0.416861263183406,-0.705581594,-0.650875075,-0.78125,1.63375209003483,3.387795276
"85",0.746298742439326,1.743243243,0,2.387878788,0.600515464,-0.153316107,0.377311961,-0.779735683,1.406435224
"86",1.55752977297443,-0.541666667,1.057142857,-0.485526316,-0.683366733,-0.047619048,-0.503012048,6.966666667,-0.038820639
"87",1.36948258242656,0.942307692,0,2.836408364,0,-0.407633588,-0.344709898,-0.604863222,1.142646335
"88",0.703299478224337,0.483471074,0.6,0.097815455,0.302788845,0.363970588,0.234442836,-0.147058824,0.108719053
"89",2.59557027563918,1.703703704,0,1.594202899,1.183574879,0.122857143,0.108974359,1.03125,0.689565217
"90",3.14990668108236,1.545454545,0,1.023400936,-0.226646248,0.896641954,-0.155367232,8.956521739,1.685460553
"91",1.15661076844486,1.920454545,0,1.10906298,0.267020336,0.367697595,0.291728213,1.75,1.334089877
"92",0.0933157265595204,-0.651480638,5,0.042210284,-0.855990783,-0.71125384,-1.28566108,2.638888889,-0.322617681
"93",1.40699039174103,1.735849057,1.533333333,0.076398363,0.404505387,1.238155401,0.477761836,6.916666667,0.373590397
"94",0.0185965425731719,0.36259542,0.508333333,0.25128866,-0.389846743,0.069034091,-0.433522727,1.63375209003483,0.438564241
"95",5.70760046558499,-11.89910979,0,98.44171779,-4.656410256,-1.273678414,-5.284482759,-0.978362029,4.730943497
"96",2.83031767167823,0.910675381,0,1.133186166,0.346715328,-0.080180689,-0.113191049124365,-0.355932203,0.891808346
"97",1.46934059412955,5.227722772,0.25,0.553825322,3.583333333,3.151975684,-0.113191049124365,-0.375,0.507231133
"98",0.697307377680195,-0.076923077,0.394736842,-1.043165468,-0.198034398,0.37591914358427,-0.113191049124365,1.63375209003483,-0.076490976
"99",0.98324175572971,0.325870647,0.454545455,-5.742424242,0.20657277,0.37591914358427,-0.113191049124365,1.63375209003483,0.141846683
"100",1.2945841743404,0.980861244,1.725,0.319704713,0.5,0.526058632,-0.113191049124365,-0.194444444,0.295705521
"101",2.26419211751109,5.333333333,1.739130435,0.227366255,3.106312292,3.082599119,1.828611898,0.0875,0.513663551
"102",1.27785457924457,1.198895028,1.357142857,-0.025356577,0.171548117,1.182548794,1.075089392,0,0.11097561
"103",0.299975628925241,-0.087278107,0,0.547529706,-0.486966825,-0.450151057,-0.451571244,1.63375209003483,0.971806167
"104",0.587665397337357,-0.37486911,2.189393939,0.696389094,-0.639402985,-0.611218037,-0.642409034,0.833333333,0.131870567
"105",1.34611012683968,0.044585987,0.583333333,0.343906511,-0.204633205,-0.258064516,-0.310192024,0.009756098,0.012302014
"106",4.02846094329133,3.424528302,0,3.3156708,-0.267657993,0.010108865,-0.110029211,0.864864865,8.058603258
"107",0.521270117735986,0.302839117,0.35443038,-0.150809717,0.238828968,0.20256971,0.12228057,-0.146341463,0.137751479
"108",0.812559825567471,-0.486764706,7,0.617347738,-0.696774194,-0.681368137,-0.113191049124365,0.351648352,0.632576687
"109",0.616455880359969,-0.24137931,4.666666667,0.171428571,-0.306122449,-0.36038961,-0.732984293,0.066666667,0.782653061
"110",0.951678132183597,0.179802956,0.375,2.464249748,-0.547403133,-0.588625592,-0.695175439,2.142857143,0.419475655
"111",2.1762410373111,1.071625344,0,0.565571746,0.173274596,0.304213772,0.159855769,1.117647059,0.607062359
"112",-0.124178610312366,-1.078037904,-0.598484848,-0.493747558,-1.130597015,-1.140398063,-1.068181818,0.696969697,-0.882232985
"113",1.1259899327541,0.842424242,1.134831461,-0.183429812,0.333910035,0.829820453,0.417789757,5.1,0.451104988
"114",0.615145211119829,0.194214876,0.217391304,0.481927711,-0.069387755,-0.298223668,-0.160929817,-0.313901345,0.022153129
"115",2.05897589060628,2.074074074,0,0.783673469,0.509735744,1.078479763,0.86941093,-0.152542373,0.660550459
"116",1.74066757280261,1.166666667,0,3.008333333,-0.49137931,-0.48381295,-1.493403694,-0.076923077,4.064574532
"117",0.908635204975505,0.623931624,8.166666667,0.511520737,-0.010362694,0.043692741,-0.082061069,0.147058824,0.110764034
"118",1.16516186857271,2.523529412,1.108108108,0.554002541,1.433544304,0.95014111,0.831851253,-0.223300971,-0.028527633
"120",-0.433748684044394,1.065420561,-0.255172414,-0.65887982,0.544217687,1.002659574,-0.719512195,0.54368932,0.150153084
"121",0.850140534707884,0.769230769,0,1.872307692,-0.417475728,-0.400426439,-0.450132392,1.63375209003483,1.419539291
"122",0.458461130332668,-1.069518717,0,-0.029350105,-1.037239869,-1.083765752,-1.038284839,1.63375209003483,0.280598368
"123",1.16024755593858,1.505836576,3,0.190443213,0.28021978,0.944201313,0.452261307,1.458333333,0.725163399
"124",0.105159040430463,-0.639136905,0.398058252,0.262372992,-0.737536657,-0.736421053,-0.768450185,1.875,-0.453306974
"125",0.395175666541006,0.214015152,0,0.96778569,-0.181716834,-0.438356164,-0.280973451,-0.571428571,0.486206897
"126",0.641496211956988,0.926530612,0.543147208,0.236648702,0.273584906,0.572855953,0.258970359,0.190789474,-0.124695737
"128",0.485379218958971,0.007541478,0.578947368,0.589850746,-0.429738562,-0.372076707,-0.257503949,0.088353414,-0.032402792
"129",1.77260695138284,0.334975369,5.5,0.416861263183406,-0.379411765,-0.357142857,-0.113191049124365,0.148648649,0.400651005
"130",1.25698262555727,1.434065934,0,0.635214827,0.599706745,0.375222288,0.363876652,-0.382716049,0.686766398
"131",2.24064176913666,10.91304348,1.666666667,1.392038601,5.88976378,4.211678832,3.857798165,-0.507692308,2.874346989
"132",1.31765312641703,0.135048232,5.222222222,0.518549396,-0.349339736,-0.288231149,-0.382327952,0.3,0.139146107
"133",1.79949761178883,1.257936508,2.9,0.407646475,0.405882353,0.653426791,0.438259109,0.533333333,0.348323674
"134",0.173769004290206,-1.421428571,0,-0.119463869,-1.178318136,-1.388294879,-1.22953451,3.923076923,0.622904368
"135",0.279063866481088,-1.421428571,0,-0.119463869,-1.178318136,-1.388294879,-1.22953451,3.923076923,0.622904368
"136",1.28028702536622,0.200589971,0,50.73913043,-0.495476688,0.37591914358427,-0.113191049124365,1.63375209003483,0.024416287
"137",1.33128775561112,0.857322011605996,0,0.416861263183406,-0.0354920496916488,0.37591914358427,-0.113191049124365,1.63375209003483,0.566982204209402
"138",0.917266115048923,-0.25,0.367647059,1.50250976,-0.550218341,-0.657105606,-0.497520661,-0.370860927,1.312323612
"139",1.50035542212695,1.438709677,0,0.416861263183406,-0.666666667,-0.33478735,-0.577950043,5.705882353,2.522441346
"140",0.720025597027541,0.08649789,0.542372881,1.077878104,-0.211907164,-0.475964078,-0.463114754,-0.227272727,-0.01509434
"141",1.16667089649137,40.45454545,0.132352941,0.742744063,52.55813953,24.64150943,5.277641278,-0.732323232,-0.386970173
"142",0.952337950461241,0.120943953,0.75,0.093880389,0.068616423,-0.049457177,0.233245729,-0.407894737,-0.044
"143",1.15279218767008,0.511961722,0.448275862,0.268819815,0.23297491,0.17953668,0.033850494,0.242718447,0.416994493
"144",0.47665265975702,0.138381201,0.175084175,0.161977335,-0.195729537,-0.018592297,-0.121323529,0.426829268,0.621928557
"145",0.636598578289745,0.399193548,0,1.45505618,-0.37366548,-0.387763895,-0.269387755,-0.053398058,0.557863076
"146",-0.503135567755486,-0.848888889,-0.641791045,-0.740195141,-0.74822974,-0.488543018,-0.583808438,2.964285714,0.319303887
"147",1.00251132899451,-0.556097561,0.955555556,1.600235156,-0.690751445,-0.827819549,-0.735645933,-0.7,0.041660415
"150",1.66835007555544,-1.386178862,0,-0.128082737,-1.311688312,-1.561728395,-1.333725029,11.77777778,-0.178939238
"151",1.4887040224202,1.685863874,1.111111111,1.953846154,0.97,0.750631845,0.923809524,-0.239316239,1.035299309
"152",0.507385393536645,0.383753501,0.15,0.223198594,0.136200717,0.118865867,0.040247678,0.103448276,-0.069948987
"153",2.61741009848183,1.569148936,1.4375,0.757658271,0.259314456,0.465404224,0.187122736,-0.035087719,0.716181725
"154",1.04354001380576,-16.63636364,0.7421875,0.126885537,-14.625,-14.25,1.035714286,-0.264705882,-0.034482759
"155",1.02739192926275,0.925287356,2.473684211,0.68018018,-0.004971002,0.025473547,-0.104245283,0.87804878,0.342111237
"156",0.884183093291179,1.095132743,1.111111111,1.52189519,-0.230769231,-0.300175835,-0.376623377,0.480519481,0.330314851
"157",0.160774363698103,-0.281345566,0.391304348,-0.117981521,-0.307909605,-0.241351241,-0.314054367,0.047619048,-0.369829081
"158",0.914632264147406,1.175609756,1.09375,0.036606374,0.853191489,0.789308176,0.263721553,-0.075,-0.219040095
"160",0.153822277495999,-0.453020134,0.278481013,0.492745836,-0.457089552,-0.653121319,-0.428891377,-0.505617978,0.242332831
"161",0.127838096072956,1.520376176,-0.863636364,0.001304348,0.109090909,0.093880389,-0.047426842,-0.214285714,0.82195122
"162",0.78022424488292,0.400900901,0.727272727,0.554411106,0.103053435,-0.101090188,-0.110749186,-0.101694915,0.73578146
