"","Company","Delta.price","Earnings.Per.Share.USD","Dividends.USD","Book.Value.Per.Share...USD","Return.on.Assets..","Return.on.Equity..","Return.on.Invested.Capital..","Debt.Equity","Revenue.USD.Mil","Net.Income.USD.Mil","Free.Cash.Flow.USD.Mil","Financial.Leverage","Long.Term.Debt","Accounts.Receivable"
"1","A",1.0040758591119,-0.263157895,NA,0.153102337,-0.218721038,-0.438570365,-0.312887237,-0.177777778,-0.323960695,-0.324110671936759,-0.334888059701493,-0.171428571428571,0.00140515222482424,-0.0957894736842105
"2","AAL",5.36618334054043,-1.246367656,NA,-1.215025907,-1.462299135,NA,NA,NA,0.760165145,-1.96968165740273,0.313704496788009,NA,0.558718861209964,-0.0978835978835978
"3","AAP",0.955705650829353,0.256360078,0,3.0917603,-0.497335702,-0.640927564,-0.604468219,-0.367346939,0.519286872,0.205063291139241,-0.267379679144385,-0.424593967517401,0.0836267605633804,0.866840731070496
"4","AAPL",1.895178587335,1.33164557,NA,1.192699491,-0.487624677,-0.115190785,-0.516081871,NA,1.117654667,0.865249594938662,0.689097981846594,0.842105263157895,NA,-0.0566037735849057
"5","ABC",1.22596266799366,-0.354330709,2.395348837,0.066484517,-0.779166667,-0.284184514,-0.596947428,3.882352941,0.909097709,-0.485148514851485,0.038,2.27151051625239,0.496147919876734,0.139008199921906
"6","ABMD",8.97553847586736,-4.65625,NA,2.438848921,-2.188888889,-2.149321267,-2.104977376,NA,3.405940594,-5.33333333333333,NA,-0.0317460317460318,NA,-0.159246575342466
"7","ABT",0.981292651559977,-0.910299003,-0.436170213,0.172303765,-0.906329114,-0.908415842,-0.906719368,0.795918367,-0.294998842,-0.899111675126904,-0.407006284262602,0,0.789,-0.460392156862745
"8","ACN",1.34861741864607,0.604719764,1.688888889,1.284697509,-0.002507837,-0.384581368,-0.384203481,NA,0.344093884,0.512291483757682,0.467083607636603,-0.374384236453202,NA,0.0330156569094623
"9","ADBE",3.7799735915997,1.048484848,NA,0.406621392,0.279835391,0.40513834,0.397736459,-0.153846154,0.731973435,1.03361344537815,1.02925731432858,0.109677419354839,-0.22700119474313,0.186968838526912
"10","ADI",1.22251189628991,-0.263345196,0.882978723,1.114689709,-0.724252492,-0.618548387,-0.654666035,2.217391304,0.706648847,-0.161476355247982,0.167095115681234,0.496402877697842,1.16222760290557,-0.506060606060606
"11","ADM",0.372915653129041,-0.108626198,1.064516129,NA,-0.275362319,-0.262510254,-0.175339367,-0.181818182,-0.246021122,-0.216601178781925,-1.32394758851408,-0.0267857142857143,-0.154081632653061,-0.595442820292347
"12","ADP",1.37661207843211,0.527777778,0.577464789,-0.247346939,0.04379562,0.877691251,0.769866497,49,0.325516651,0.381977671451356,0.158963585434174,0.640350877192982,52.9,0.147869674185464
"13","ADS",1.64300886769723,1.587155963,NA,8.819112628,-0.232240437,-0.858256779,-0.095571096,-0.658962264,1.43271352,1.5047619047619,1.54157782515991,-0.675876935136194,0.0527329641223212,-0.025151069737057
"14","ADSK",1.8027680912701,-3.9,NA,-0.32157969,-2.39382716,-4.597818182,-2.410909091,NA,0.041004613,-3.74528301886792,-0.816764132553606,2.78034682080925,NA,-0.174255691768827
"15","AEE",0.937338663691814,-0.004651163,0.148387097,-0.08131068,-0.059090909,0.104072398,-0.138257576,0.178571429,-0.179790201,0.00770712909441233,-1.11577608142494,0.207357859531772,-0.0327234342012668,-0.117486338797814
"16","AEP",0.880010052591273,-0.034825871,0.291891892,0.211811283,-0.211640212,-0.218658892,-0.210459184,0.029126214,0.020375761,-0.0174717368961973,-2.50937808489635,-0.00561797752808989,0.0391274238227148,-0.191135734072022
"17","AES",-0.0630398080152773,-26.14285714,NA,-0.408588957,-24.92857143,-48.47311828,-2.867867868,1.136094675,-0.390413338,-21.0172413793103,-0.312775330396476,0.76246719160105,0.196447015079529,-0.214920071047957
"18","AET",2.7963152474988,0.088122605,2.888888889,0.583527067,-0.411538462,-0.426700252,NA,0.333333333,0.852299501,-0.0412890231621349,-1.40917602996255,-0.0708661417322835,0.442289039767216,3.22565320665083
"19","AFL",0.661283755962245,1.800970874,0.426229508,1.064563463,0.916666667,0.277673546,NA,-0.125,-0.025754364,1.34419551934827,-0.434790629035233,-0.356401384083045,0.366548042704626,0.0344827586206897
"20","AGN",2.52891691989609,-7.402912621,NA,6.314733771,-1.853717026,-1.824146982,-1.577648766,0.583333333,2.477530541,-16.8692307692308,9.08008213552361,-0.0851063829787234,0.723756906077348,-0.855172413793103
"21","AIG",1.05920338687824,-1.59400545,NA,0.777116402,-1.445255474,-1.299442897,NA,-0.309859155,-0.228326354,-1.34183616136645,-246.285714285714,0.443396226415094,-0.538126361655773,-0.222641509433962
"22","AIV",0.796456910313663,-3.279069767,2,2.467213115,-4.434482759,-1.593304402,1.311728395,-0.870811073,-0.069444444,-6.68421052631579,-6.14285714285714,-0.855575868372943,-0.138165490699166,-0.688524590163934
"23","AIZ",1.6490845173962,0.704174229,2.071428571,0.39364519,-0.171568627,0.115902965,NA,0.315789474,-0.237157017,-0.0476190476190476,-0.429268292682927,0.38404452690167,-0.064066852367688,13.6569037656904
"24","AJG",1.00135250651402,0.984375,0.181818182,1.136406397,0.06442577,-0.018760196,-0.450171821,NA,1.886597938,2.21527777777778,1.98353909465021,-0.130193905817174,NA,-0.0611086861632474
"25","AKAM",0.73408896033137,0.177570093,NA,0.611715481,-0.431578947,-0.279395901,-0.375418994,NA,1.159620362,0.0845771144278607,0.42962962962963,0.275229357798165,NA,0.109010011123471
"26","ALB",1.01793732471243,-0.885514019,0.910447761,0.973698937,-0.950395399,-0.949327818,-0.949701195,-0.170212766,0.070756361,-0.873853211009174,-1.04713804713805,0.0497512437810946,-0.226289517470882,-0.346153846153846
"27","ALGN",6.52756860923079,2.409638554,NA,1.546551724,0.230379747,0.404296875,0.411649215,NA,2.06875,2.44776119402985,1.43,0.174242424242424,NA,0.287943262411348
"28","ALK",4.30413865001785,4,NA,2.184062851,1.08559499,0.448741845,0.63434903,-0.35106383,0.837193145,3.22040816326531,0.825242718446602,-0.347629796839729,-0.00425531914893616,0.209125475285171
"29","ALL",2.06419036591036,4.573333333,0.761904762,0.588430667,3.557377049,2.710526316,NA,-0.03125,0.179763582,3.04695431472081,1.38562091503268,-0.196428571428571,0.199575371549894,2.33673469387755
"30","ALXN",1.33353473814249,1.164835165,NA,6.07029877,-0.773507207,-0.71331058,-0.745412844,NA,3.535121328,1.53142857142857,2.05645161290323,0.24390243902439,NA,-0.694460308395203
"31","AMAT",2.39291801791882,1.186206897,0.333333333,0.21958457,0.300708307,0.75826972,0.357006673,1.590909091,0.382238281,0.782969885773624,0.472259810554804,0.316455696202532,0.943772241992882,0.115837104072398
"32","AMD",0.738474525635598,-0.939393939,NA,-0.784,-0.873737374,-0.778160615,-0.61263897,1.260416667,-0.1886419,-0.912423625254583,-1.34090909090909,0.855769230769231,0.214471122647631,-0.390835579514825
"33","AME",1.23782610084553,0.860759494,1.25,0.914218566,-0.031746032,-0.068690891,-0.061505065,-0.163636364,0.43812709,0.7734375,0.655021834061135,-0.0761904761904763,-0.0795847750865052,-0.155665024630542
"34","AMG",0.781692315283909,2.868167203,NA,0.965074627,1.515923567,1.058888889,0.438633938,0.324324324,0.352699531,3.18181818181818,0.664739884393064,-0.185714285714286,0.406871609403255,0.0439330543933054
"35","AMGN",2.04722271059844,-0.334158416,7.214285714,0.50777027,-0.685463659,-0.581096849,-0.665650407,0.205357143,0.466371454,-0.462666304642954,1.30953427065026,0.233463035019455,-0.0208381039615297,-0.317032040472175
"36","AMP",1.58207500372408,1.08388521,2.724137931,-0.071089023,0.271604938,1.346978558,NA,0.148648649,0.179314386,0.37546468401487,-0.201763485477178,0.881407804131599,-0.39612676056338,-0.0644391408114559
"37","AMT",1.43980268944715,1.696969697,NA,0.833534379,0.022792023,0.516267123,0.132376396,0.433179724,1.726268412,2.12878787878788,2.30015552099533,0.43010752688172,0.0106924643584521,1.48192771084337
"38","AMZN",3.92274901680186,3.489051095,NA,1.9847686,-0.01048951,0.49594438,-0.067105263,6.611111111,2.699606881,3.80665610142631,2.09703632887189,0.45398773006135,17.6534653465347,-0.0137659783677483
"39","ANDV",3.01415326364635,1.837270341,NA,1.190265487,0.064846416,0.260239445,-0.056542811,1.228571429,0.154176154,1.7985347985348,-0.273657289002558,0.0777777777777778,1.29350261389096,-0.46656298600311
"40","ANSS",1.2539056762073,0.560209424,NA,0.487137384,0.143037975,0.058181818,0.129318855,NA,0.584659913,0.430939226519337,0.437062937062937,-0.0642857142857142,NA,0.214426877470356
"41","ANTM",1.7050205431857,0.979310345,1.7,0.449849764,0.094594595,0.324733096,NA,0.833333333,0.483099984,0.452380952380952,0.185639229422067,0.192825112107623,0.521927115503397,0.456775700934579
"42","AON",1.71333131288003,0.637630662,1.35,-0.175542406,0.388059701,1.033361134,0.363233666,1.490196078,-0.114202179,0.252298263534219,-0.290862290862291,0.554644808743169,0.546875,-0.0677808727948004
"43","AOS",4.56807282605243,0.036585366,2.733333333,0.830188679,-0.289569657,-0.397039897,-0.331753555,-0.4,0.751022794,-0.0262295081967213,45.4,-0.101851851851852,-0.331919406150583,0.193877551020408
"44","APA",-0.569212751258059,-0.702702703,0.666666667,-0.735061195,-0.378177966,0.078486731,-0.289928058,3.458333333,-0.651409285,-0.715532286212915,-1.11547826086957,0.577540106951872,1.96088957055215,0.0371621621621621
"45","APC",-0.302479398857598,-0.840225564,-0.444444444,-0.456515922,-0.79337232,-0.703513909,-0.782752902,0.746987952,-0.190750612,-0.827859569648924,-0.675039745627981,0.374125874125874,0.347414667117269,-0.308426073131956
"46","APD",0.825975886437601,1.424511545,0.66367713,0.563656148,0.86492622,0.61926818,0.730328495,-0.5,-0.187859552,1.45098039215686,0.313432835820896,-0.259109311740891,-0.332853025936599,-0.394777265745008
"47","APH",2.09322104724588,0.355263158,22.33333333,0.958762887,-0.432606941,-0.272922022,-0.412717457,0.412698413,0.779441624,0.24236641221374,0.974193548387097,0.224390243902439,0.145846748229234,-0.0741599073001159
"48","ARE",0.619777115496156,-0.086705202,0.85483871,0.098910138,-0.208588957,-0.25,-0.079207921,-0.129032258,1.226190476,0.290076335877863,-1.92213114754098,-0.0636363636363637,-0.0356305672761368,-0.272727272727273
"49","ARNC",-0.183093540551954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","ATVI",3.80035895820359,-0.608695652,0.764705882,0.410503751,-0.814268143,-0.719733079,-0.8117195,NA,0.475709779,-0.748387096774194,1.33863636363636,0.551181102362205,NA,0.00613496932515343
"51","AVB",0.488952191056,0.303901437,0.591036415,0.716678137,-0.110701107,-0.257417103,-0.122591944,-0.144578313,1.228070175,0.984162895927602,-5.56370656370656,-0.082901554404145,-0.0814678052157859,NA
"52","AVGO",6.29443885102234,0.835616438,10.65714286,4.9375,-0.864887406,-0.72519084,-0.79878255,NA,6.549657534,2.06521739130435,7.92833876221498,1.19672131147541,NA,-0.664429530201342
"53","AVY",1.63759492547282,0.758426966,0.76,-0.216413374,0.567639257,1.48305821,0.579141104,1.172413793,0.097577166,0.484210526315789,0.457044673539519,0.636666666666667,0.335070349140177,0.334467120181406
"54","AWK",1.788524860907,0.36,0.8,0.275577558,0.041860465,0.086486486,-0.332,-0.03968254,0.259189797,0.374193548387097,-0.641176470588235,0.0372492836676217,-0.0783065855008301,0.0829694323144105
"55","AXP",0.782940629955199,-0.279126214,0.861111111,0.578135048,-0.52887538,-0.517388219,NA,-0.034700315,-0.184834123,-0.445592705167173,0.343743269437863,0.218137254901961,-0.207464607464608,0.0875912408759124
"56","AZO",1.18129024936349,1.26348228,NA,0.969619444,-0.033692722,NA,NA,NA,0.348817044,0.508833922261484,0.0515463917525773,NA,-0.0291932059447984,0.2625
"57","BA",2.08737667037906,1.514981273,2.380952381,-0.770287141,0.659889094,NA,1.775575221,8.666666667,0.35872554,1.04006968641115,3.96709956709957,10.4275043936731,-0.161881977671451,0.61878453038674
"58","BAC",1.46556303704165,155,8.75,0.215392304,NA,169.75,NA,-0.471590909,0.014611936,11.6085753803596,-0.835351281199057,-0.073558648111332,-0.429959977129788,-0.142857142857143
"59","BAX",0.965472507352382,-0.667525773,-0.515873016,0.410815174,-0.63927691,-0.756652868,-0.68320802,-0.472222222,-0.239833009,-0.677607913669065,-0.352180936995153,-0.351724137931035,-0.187153053132435,-0.174152876280536
"60","BBT",0.843291203247495,0.49726776,0.96875,0.364978061,0.294871795,0.090551181,NA,-0.288,0.31287703,0.857253685027153,0.0677263303386317,-0.168662674650699,-0.145716573258607,NA
"61","BBY",0.853865599000983,0.058441558,1.344827586,NA,0.052407932,0.21659919,0.161330049,1,-0.161541216,-0.216914643696163,2.25784753363229,0.337037037037037,0.502415458937198,-0.388593155893536
"62","BDX",1.42944659590634,-0.181494662,0.780487805,1.455960854,-0.74328594,-0.595882115,-0.686407219,1.823529412,0.544641717,-0.134539732494099,0.640864086408641,0.347222222222222,1.07682619647355,-0.607809847198642
"63","BEN",0.10584135766162,0.048780488,1.424242424,0.712643678,-0.362189688,-0.420363329,-0.400597907,-0.666666667,-0.104761905,-0.117983367983368,-0.287919463087248,-0.141975308641975,-0.597090449082859,0.0178253119429589
"64","BF-B",1.16065777444796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","BHF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","BHGE",-0.269295137684007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","BIIB",2.16446917302184,1.365079365,NA,1.36338904,-0.242361111,-0.017241379,-0.200339559,1.764705882,1.430778372,1.05753646677472,0.753387533875339,0.333333333333333,1.13993174061433,0.0912124582869856
"68","BK",1.00252811540759,0.832512315,0.791666667,0.310233393,0.261363636,0.402614379,NA,0.121212121,0.026748133,0.625596184419714,1.19502868068834,0.0133607399794449,0.105726872246696,8.05
"69","BKNG",2.65884453896511,1.271449346,NA,4.534583333,-0.663411458,-0.538733126,-0.679402834,25,1.911157025,1.21685606060606,2.37760617760618,0.467532467532467,16.228855721393,-0.282282282282282
"70","BLK",1.36346509955054,1.443815683,0.818181818,0.345208048,0.738461538,0.785557987,0.838422392,-0.36,0.375509305,1.12665810868635,0.424195424583172,-0.0362116991643454,-0.346704871060172,0.0512820512820513
"71","BLL",1.20637116204747,-0.198473282,1.571428571,1.298405467,-0.6416,-0.687422935,-0.602298851,-0.253393665,0.272653534,-0.157657657657658,0.825742574257426,-0.270903010033445,0.00951374207188159,-0.2384
"72","BMY",0.98955543512803,-0.717592593,0.180451128,-0.075203252,-0.7417962,-0.692143467,-0.721590909,0.735294118,-0.02202975,-0.728498247506066,-0.0565615917728594,0.381642512077295,0.28290282902829,0.654625550660793
"73","BR",2.42600864727569,1.045454545,1.2,0.254263566,0.182115594,0.508514664,0.422204214,5.875,0.911859714,0.93491124260355,0.868263473053892,0.313807531380753,4.3583460949464,-0.123595505617978
"74","BRK-B",1.2567910582135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","BSX",3.02294630164276,-0.724137931,NA,-0.305660377,-0.724137931,-0.611825193,-0.734693878,0.421052632,0.187090003,-0.764172335600907,0.572443181818182,0.446808510638298,0.00150000000000006,0.38974358974359
"76","BWA",0.272958360044225,-0.063063063,NA,0.638086643,-0.506276151,-0.46410473,-0.508615567,0.806451613,0.377424796,-0.201818181818182,0.968253968253968,0.052,0.705098039215686,0.0392947103274558
"77","BXP",0.292062745337339,0.575268817,0.487804878,0.11878453,0.216494845,0.36779661,0.036964981,0.022346369,0.478409091,0.692307692307692,4.66875,0.138613861386139,-0.016519463526333,-0.252279635258359
"78","C",0.758705690315285,-1.820936639,31,0.338837517,-1.75862069,-1.641975309,NA,-0.285714286,-0.088114048,-1.61425860666847,-1.28934686266437,-0.0388257575757576,-0.256365740740741,0.405405405405405
"79","CA",0.461488285973112,0.149068323,5.375,0.205540661,-0.057184751,-0.112820513,-0.180511182,1.130434783,-0.088733348,-0.0628778718258767,-0.113494191242181,0.00452488687782816,1.12875121006776,-0.114035087719298
"80","CAG",0.948774655113337,-0.223404255,0.011235955,-0.115283843,-0.229461756,-0.024146054,-0.167250438,0.131147541,-0.363894985,-0.217870257037944,0.0530474040632054,0.0411522633744855,0.0993245927691696,-0.251006711409396
"81","CAH",0.689097500239467,0.481617647,1.2625,0.262304922,-0.225446429,0.118329466,-0.265050167,2.594594595,0.266279568,0.343065693430657,-0.277425203989121,0.506393861892583,1.37605042016807,-0.255382331106162
"82","CAT",0.162496282122958,-0.82972973,0.722222222,0.195701875,-0.853982301,-0.864806351,-0.828380386,-0.103092784,-0.244038711,-0.846996753246753,0.0907323395981854,-0.110759493670886,-0.0123296560674886,-0.0453720508166969
"83","CB",1.19068919083161,0.811946903,1.737864078,0.543623209,0.268817204,0.161676647,NA,0.642857143,0.915349887,1.43596214511041,0.297694524495677,-0.0868347338935574,0.848958333333333,1.93413173652695
"84","CBOE",2.70269242706412,1.427631579,NA,NA,-0.705581594,-0.650875075,-0.78125,NA,3.387795276,1.88489208633094,0.931034482758621,0.215827338129496,NA,-0.705493050959629
"85","CBRE",0.746298742439326,1.743243243,NA,2.387878788,0.600515464,-0.153316107,0.377311961,-0.779735683,1.406435224,1.89121338912134,1.49765258215962,-0.543859649122807,-0.321438082556591,0.417898832684825
"86","CBS",1.55752977297443,-0.541666667,1.057142857,-0.485526316,-0.683366733,-0.047619048,-0.503012048,6.966666667,-0.038820639,-0.726436781609195,-0.526954177897574,2.99242424242424,0.996921723834653,0.428341384863124
"87","CCI",1.36948258242656,0.942307692,NA,2.836408364,0,-0.407633588,-0.344709898,-0.604863222,1.142646335,1.60233918128655,1.75675675675676,-0.485207100591716,-0.234036005539314,0.684931506849315
"88","CCL",0.703299478224337,0.483471074,0.6,0.097815455,0.302788845,0.363970588,0.234442836,-0.147058824,0.108719053,0.362970711297071,1.22242990654206,0.0370370370370369,-0.177063339731286,0.132352941176471
"89","CDNS",2.59557027563918,1.703703704,NA,1.594202899,1.183574879,0.122857143,0.108974359,1.03125,0.689565217,1.83333333333333,0.976076555023923,-0.427570093457944,2.55674232309746,0.00127226463104323
"90","CELG",3.14990668108236,1.545454545,NA,1.023400936,-0.226646248,0.896641954,-0.155367232,8.956521739,1.685460553,1.23065250379363,1.9618366129994,1.3956043956044,3.12156862745098,-0.297354497354497
"91","CERN",1.15661076844486,1.920454545,NA,1.10906298,0.267020336,0.367697595,0.291728213,1.75,1.334089877,1.82410423452769,0.899408284023669,0.0384615384615385,1.75432525951557,-0.14118273841236
"92","CF",0.0933157265595204,-0.651480638,5,0.042210284,-0.855990783,-0.71125384,-1.28566108,2.638888889,-0.322617681,-0.767381416504224,-0.367903930131004,0.908629441624365,1.40445859872611,-0.24
"93","CHD",1.40699039174103,1.735849057,1.533333333,0.076398363,0.404505387,1.238155401,0.477761836,6.916666667,0.373590397,1.39677419354839,0.764542936288089,0.771241830065359,3.36579275905119,-0.322732626619552
"94","CHRW",0.0185965425731719,0.36259542,0.508333333,0.25128866,-0.389846743,0.069034091,-0.433522727,NA,0.438564241,0.168981481481481,-0.135278514588859,0.736842105263158,NA,-0.102983465132998
"95","CHTR",5.70760046558499,-11.89910979,NA,98.44171779,-4.656410256,-1.273678414,-5.284482759,-0.978362029,4.730943497,-35.4967105263158,14.3067484662577,-0.962365077848887,-0.389721105833638,-0.206666666666667
"96","CI",2.83031767167823,0.910675381,0,1.133186166,0.346715328,-0.080180689,NA,-0.355932203,0.891808346,0.685757347400151,2.38166510757718,-0.264705882352941,-0.139059304703476,4.73684210526316
"97","CINF",1.46934059412955,5.227722772,0.25,0.553825322,3.583333333,3.151975684,NA,-0.375,0.507231133,5.29518072289157,3.31666666666667,-0.145161290322581,-0.312977099236641,0.367924528301887
"98","CL",0.697307377680195,-0.076923077,0.394736842,-1.043165468,-0.198034398,NA,NA,NA,-0.076490976,-0.167420814479638,0.0601949978804578,NA,0.504251700680272,-0.112462006079027
"99","CLX",0.98324175572971,0.325870647,0.454545455,-5.742424242,0.20657277,NA,NA,NA,0.141846683,0.258527827648115,0.35531914893617,NA,-0.403996865203762,-0.0198255352894528
"100","CMA",1.2945841743404,0.980861244,1.725,0.319704713,0.5,0.526058632,NA,-0.194444444,0.295705521,0.89058524173028,0.323943661971831,0.0123873873873873,-0.202469135802469,-0.1578125
"101","CMCSA",2.26419211751109,5.333333333,1.739130435,0.227366255,3.106312292,3.082599119,1.828611898,0.0875,0.513663551,4.46009615384615,0.25012370113805,-0.182634730538922,0.190085724934775,0.655797101449276
"102","CME",1.27785457924457,1.198895028,1.357142857,-0.025356577,0.171548117,1.182548794,1.075089392,0,0.11097561,1.24227373068433,0.498296422487223,0.788359788359788,-0.43050193050193,-0.338028169014085
"103","CMG",0.299975628925241,-0.087278107,NA,0.547529706,-0.486966825,-0.450151057,-0.451571244,NA,0.971806167,-0.181395348837209,-0.0384615384615385,0.102941176470588,NA,3.11864406779661
"104","CMI",0.587665397337357,-0.37486911,2.189393939,0.696389094,-0.639402985,-0.611218037,-0.642409034,0.833333333,0.131870567,-0.459415584415584,0.214953271028037,0.174528301886792,0.592082616179002,-0.0752886836027713
"105","CMS",1.34611012683968,0.044585987,0.583333333,0.343906511,-0.204633205,-0.258064516,-0.310192024,0.009756098,0.012302014,0.108433734939759,-1.26132404181185,-0.0441988950276242,0.0768812822602553,-0.0443262411347518
"106","CNC",4.02846094329133,3.424528302,NA,3.3156708,-0.267657993,0.010108865,-0.110029211,0.864864865,8.058603258,6.45945945945946,4.67553191489362,0.363247863247863,0.351351351351351,1.17246175243394
"107","CNP",0.521270117735986,0.302839117,0.35443038,-0.150809717,0.238828968,0.20256971,0.12228057,-0.146341463,0.137751479,0.320560058953574,-1.00854700854701,-0.056420233463035,-0.0946998241647828,0.241106719367589
"108","COF",0.812559825567471,-0.486764706,7,0.617347738,-0.696774194,-0.681368137,NA,0.351648352,0.632576687,-0.370193835398793,0.843697478991597,0.0806916426512968,0.242770167427701,-0.236363636363636
"109","COG",0.616455880359969,-0.24137931,4.666666667,0.171428571,-0.306122449,-0.36038961,-0.732984293,0.066666667,0.782653061,-0.180327868852459,-1.34447300771208,-0.0922330097087378,0.174646602827177,1.16104868913858
"110","COL",0.951678132183597,0.179802956,0.375,2.464249748,-0.547403133,-0.588625592,-0.695175439,2.142857143,0.419475655,0.11198738170347,1.0439121756487,-0.15819209039548,2.782874617737,-0.559510567296997
"111","COO",2.1762410373111,1.071625344,0,0.565571746,0.173274596,0.304213772,0.159855769,1.117647059,0.607062359,1.12571428571429,1,0.133333333333333,0.895032051282051,-0.202933985330073
"112","COP",-0.124178610312366,-1.078037904,-0.598484848,-0.493747558,-1.130597015,-1.140398063,-1.068181818,0.696969697,-0.882232985,-1.0687520102927,-0.610344827586207,0.0212765957446808,0.654416961130742,-0.454124189063948
"113","COST",1.1259899327541,0.842424242,1.134831461,-0.183429812,0.333910035,0.829820453,0.417789757,5.1,0.451104988,0.832421340629275,1.21383647798742,0.511210762331839,2.81589958158996,0.0914127423822715
"114","CPB",0.615145211119829,0.194214876,0.217391304,0.481927711,-0.069387755,-0.298223668,-0.160929817,-0.313901345,0.022153129,0.101863354037267,0.0954022988505747,-0.251980982567353,-0.0881107031911889,-0.0404411764705882
"115","CPRT",2.05897589060628,2.074074074,NA,0.783673469,0.509735744,1.078479763,0.86941093,-0.152542373,0.660550459,1.37349397590361,0.84971098265896,-0.0717948717948717,-0.0739753415528158,0.360169491525424
"116","CRM",1.74066757280261,1.166666667,NA,3.008333333,-0.49137931,-0.48381295,-1.493403694,-0.076923077,4.064574532,1.8125,17.8666666666667,-0.0330578512396695,-0.253106605624591,0.330195510499638
"117","CSCO",0.908635204975505,0.623931624,8.166666667,0.511520737,-0.010362694,0.043692741,-0.082061069,0.147058824,0.110764034,0.480585516178737,0.449971925884335,0.0652173913043478,0.0627345844504022,-0.141583054626533
"118","CSX",1.16516186857271,2.523529412,1.108108108,0.554002541,1.433544304,0.95014111,0.831851253,-0.223300971,-0.028527633,2.00274423710209,0.199329983249581,-0.303724928366762,0.112984822934233,-0.29242819843342
"119","CTAS",3.37030498245649,1.607142857,1.714285714,0.234767025,0.478114478,1.271302644,0.563591022,1.142857143,0.397112861,0.947368421052632,2.10759493670886,0.571428571428572,0.371273712737127,-0.420731707317073
"120","CTL",-0.433748684044394,1.065420561,-0.255172414,-0.65887982,0.544217687,1.002659574,-0.719512195,0.54368932,0.150153084,1.42408376963351,-0.568715083798883,0.192592592592593,0.296267087276551,0.0538243626062324
